ENTIDAD,CICLO,MUJERES_INSC_ING,MAT_TOTAL_SUP,%_MUJERES_EN_ING
23 Quintana Roo,2014/2015,1256,33645,3.733095557
24 San Luis Potos�,2014/2015,5763,70284,8.199590234
25 Sinaloa,2014/2015,6897,123810,5.570632421
26 Sonora,2014/2015,7645,96521,7.920556148
27 Tabasco,2014/2015,9274,73447,12.62679211
28 Tanaulipas,2014/2015,9342,101248,9.226848925
29 Tlaxcala,2014/2015,2395,28433,8.423310942
30 Veracruz,2014/2015,24686,232704,10.60832646
31 Yucat�n,2014/2015,3354,63347,5.294646945
32 Zacatecas,2014/2015,3482,42768,8.141601197
